,price,propertyType,size,priceByArea,floor,rooms,bathrooms,district,latitude,longitude,avgPriceZone,status,hasLift,hasAirConditioning,hasBoxRoom,hasTerrace,hasGarden,hasSwimmingPool,hasParkingSpace,parkingSpacePrice,statusInt,box_posto_auto,propertyTypeInt,garden_terrace,floorCat,liftCat,roomsCat,bathroomsCat
150,205000,flat,115,1782,0,4,1,SU - KODADU,45.8372427,8.8138976,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,0,0,4,1
151,210000,flat,120,1750,1,4,2,SU - KODADU,45.836734,8.8113804,2047,renew,0,0,0,0,1,0,1,0,1,1,3,1,0,0,4,2
152,210000,flat,130,1615,0,4,2,SU - KODADU,45.836586,8.812945,2047,renew,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,2
153,210000,flat,110,1909,0,3,2,SU - KODADU,45.8352019,8.8082156,2047,renew,1,0,0,0,1,0,1,0,1,1,3,1,0,0,3,2
154,210000,flat,120,1750,2,4,2,SU - KODADU,45.8331482,8.8184576,2047,renew,1,0,0,0,1,0,1,0,1,1,3,1,1,1,4,2
155,212000,flat,126,1682,0,4,2,SU - KODADU,45.8331482,8.8184576,2047,renew,1,0,0,0,0,0,1,0,1,1,3,0,0,0,4,2
156,215000,flat,100,2150,0,3,2,SU - KODADU,45.8217489,8.8228561,2047,renew,1,0,0,0,1,0,0,0,1,0,3,1,0,0,3,2
157,215000,flat,130,1653,1,4,2,SU - KODADU,45.8255,8.81305,2047,renew,1,0,1,1,0,0,1,0,1,1,3,1,0,0,4,2
158,220000,flat,145,1517,1,4,2,SU - KODADU,45.835486,8.812845,2047,renew,0,0,0,0,0,0,1,0,1,1,3,0,0,0,4,2
159,255000,flat,94,2712,2,3,2,SU - KODADU,45.8333648,8.7987719,2047,good,1,0,0,1,1,0,1,30000,2,1,3,1,1,1,3,2
160,225000,flat,112,2008,2,4,2,SU - KODADU,45.8241777,8.8138127,2047,renew,1,0,0,1,0,0,1,0,1,1,3,1,1,1,4,2
161,225000,flat,137,1642,0,3,1,SU - KODADU,45.8267804,8.810476,2047,renew,1,0,0,1,0,0,0,0,1,0,3,1,0,0,3,1
162,229000,flat,110,2081,0,4,2,SU - KODADU,45.8313933,8.8228992,2047,good,0,0,1,1,1,0,1,0,2,1,3,1,0,0,4,2
163,230000,flat,100,2300,1,5,2,SU - KODADU,45.8373802,8.8107439,2047,good,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,2
164,239000,flat,140,1707,4,4,2,SU - KODADU,45.8232243,8.8209418,2047,renew,1,0,1,1,0,0,1,0,1,1,3,1,1,1,4,2
165,239000,flat,91,2626,2,3,2,SU - KODADU,45.8307284,8.7927175,2047,good,1,0,0,1,1,0,1,0,2,1,3,1,1,1,3,2
166,240000,penthouse,120,2000,3,3,1,SU - KODADU,45.8258227,8.8069708,2047,renew,0,0,1,0,1,0,1,0,1,1,6,1,1,0,3,1
167,245000,flat,90,2722,1,3,1,SU - KODADU,45.8332701,8.8199469,2047,good,1,0,1,1,0,0,1,0,2,1,3,1,0,0,3,1
168,245000,flat,95,2578,0,3,2,SU - KODADU,45.8247116,8.8205814,2047,good,0,0,0,1,1,0,1,0,2,1,3,1,0,0,3,2
169,245000,chalet,200,1225,0,4,3,SU - KODADU,45.8451712,8.7926361,2047,renew,0,0,0,0,0,0,1,0,1,1,4,0,0,0,4,2
170,280000,flat,86,3255,2,3,1,SU - KODADU,45.826336,8.8098848,2047,good,1,1,1,1,0,0,1,30000,2,1,3,1,1,1,3,1
171,250000,flat,182,1373,1,4,3,SU - KODADU,45.8192737,8.8057934,2047,renew,1,0,0,1,1,0,1,0,1,1,3,1,0,0,4,2
172,250000,countryHouse,500,500,0,10,4,SU - KODADU,45.8222389,8.8225791,2047,renew,0,0,0,1,0,0,1,0,1,1,1,1,0,0,4,2
173,284000,flat,94,3021,2,3,2,SU - KODADU,45.8333648,8.7987719,2047,good,1,0,1,1,1,0,1,30000,2,1,3,1,1,1,3,2
174,285000,flat,92,3097,3,3,2,SU - KODADU,45.8344241,8.7940015,2047,good,1,1,1,1,1,0,1,30000,2,1,3,1,1,1,3,2
175,255000,flat,91,2802,1,3,1,SU - KODADU,45.8332701,8.8199469,2047,good,1,0,1,1,0,0,1,0,2,1,3,1,0,0,3,1
176,255000,flat,95,2684,1,3,1,SU - KODADU,45.8332701,8.8199469,2047,good,1,0,1,1,0,0,1,0,2,1,3,1,0,0,3,1
177,259000,flat,106,2443,1,3,1,SU - KODADU,45.8351655,8.8216143,2047,good,1,0,0,1,0,0,1,0,2,1,3,1,0,0,3,1
178,260000,flat,164,1585,1,4,3,SU - KODADU,45.829062,8.7961282,2047,renew,0,0,1,0,1,0,1,0,1,1,3,1,0,0,4,2
179,260000,chalet,250,1040,0,4,1,SU - KODADU,45.8302284,8.7945175,2047,renew,0,0,1,1,1,0,1,0,1,1,4,1,0,0,4,1
180,265000,penthouse,180,1472,2,6,2,SU - KODADU,45.8267637,8.8059976,2047,renew,1,0,0,0,0,0,1,0,1,1,6,0,1,1,4,2
181,265000,flat,83,3192,1,3,1,SU - KODADU,45.8298278,8.7916989,2047,newdevelopment,1,0,0,1,0,0,1,0,3,1,3,1,0,0,3,1
182,265000,flat,95,2789,0,3,1,SU - KODADU,45.8308545,8.7918298,2047,good,1,1,0,1,0,0,1,0,2,1,3,1,0,0,3,1
183,275000,flat,165,1666,5,4,2,SU - KODADU,45.822635,8.8189773,2047,renew,1,0,0,0,0,0,0,0,1,0,3,0,1,1,4,2
184,275000,duplex,200,1375,3,5,3,SU - KODADU,45.8369114,8.8098928,2047,renew,1,0,1,0,0,0,1,0,1,1,5,0,1,1,4,2
185,277000,flat,90,3077,1,3,1,SU - KODADU,45.8281545,8.7907298,2047,good,1,0,0,0,0,0,1,0,2,1,3,0,0,0,3,1
186,280000,flat,145,1931,2,3,2,SU - KODADU,45.8237928,8.8134158,2047,renew,1,0,0,1,0,0,0,0,1,0,3,1,1,1,3,2
187,280000,flat,98,2857,0,4,2,SU - KODADU,45.838216,8.8125443,2047,newdevelopment,1,0,0,1,0,0,1,0,3,1,3,1,0,0,4,2
188,290000,flat,107,2710,2,3,2,SU - KODADU,45.8258676,8.8027763,2047,good,0,0,0,0,0,0,1,0,2,1,3,0,1,0,3,2
189,290000,flat,126,2301,3,3,1,SU - KODADU,45.8275284,8.7932175,2047,good,0,0,0,0,0,0,1,0,2,1,3,0,1,0,3,1
190,290000,penthouse,120,2416,5,4,2,SU - KODADU,45.835798,8.8042081,2047,good,0,0,0,1,0,0,0,0,2,0,6,1,1,0,4,2
191,295000,flat,200,1475,0,5,2,SU - KODADU,45.8298762,8.8134414,2047,renew,1,0,1,1,1,0,1,0,1,1,3,1,0,0,4,2
192,295000,duplex,160,1843,4,5,3,SU - KODADU,45.8257777,8.8128127,2047,renew,1,1,0,0,0,0,1,0,1,1,5,0,1,1,4,2
193,298000,flat,130,2292,1,4,2,SU - KODADU,45.8361884,8.8089712,2047,good,1,0,0,1,1,0,0,0,2,0,3,1,0,0,4,2
194,298000,flat,180,1655,0,5,2,SU - KODADU,45.819926,8.8120251,2047,renew,1,0,1,1,1,0,1,0,1,1,3,1,0,0,4,2
195,310000,flat,95,3263,1,3,2,SU - KODADU,45.8224966,8.8225026,2047,good,1,0,0,1,0,0,0,0,2,0,3,1,0,0,3,2
196,315000,flat,118,2669,1,4,2,SU - KODADU,45.8382775,8.8110939,2047,good,1,0,0,1,0,0,1,0,2,1,3,1,0,0,4,2
197,315000,flat,95,3315,0,3,2,SU - KODADU,45.8410456,8.802718,2047,good,1,0,0,1,1,0,1,0,2,1,3,1,0,0,3,2
198,320000,flat,218,1467,3,4,2,SU - KODADU,45.8452891,8.7914681,2047,renew,1,0,1,0,0,0,0,0,1,1,3,0,1,1,4,2
199,320000,flat,120,2666,0,3,2,SU - KODADU,45.8355691,8.8103016,2047,good,1,0,0,0,0,0,0,0,2,0,3,0,0,0,3,2
200,330000,flat,196,1683,0,5,2,SU - KODADU,45.8298489,8.8135469,2047,renew,1,0,0,1,1,0,1,0,1,1,3,1,0,0,4,2
201,330000,flat,280,1178,0,7,3,SU - KODADU,45.8363632,8.7873419,2047,renew,0,1,0,1,1,0,1,0,1,1,3,1,0,0,4,2
202,340000,flat,113,3008,1,4,2,SU - KODADU,45.8230411,8.8144679,2047,good,0,0,0,1,0,0,0,0,2,0,3,1,0,0,4,2
203,340000,chalet,240,1416,0,5,1,SU - KODADU,45.8213555,8.8211493,2047,renew,0,0,0,0,1,0,0,0,1,0,4,1,0,0,4,1
204,340000,penthouse,242,1404,2,4,3,SU - KODADU,45.8314439,8.8172726,2047,renew,0,0,0,0,1,0,0,0,1,0,6,1,1,0,4,2
205,342000,flat,127,2692,2,4,2,SU - KODADU,45.8344241,8.7940015,2047,good,1,1,1,1,1,0,1,0,2,1,3,1,1,1,4,2
206,350000,flat,235,1489,0,5,3,SU - KODADU,45.827279,8.8135828,2047,renew,1,0,1,0,1,0,0,0,1,1,3,1,0,0,4,2
207,350000,duplex,135,2592,2,4,2,SU - KODADU,45.8252804,8.811276,2047,good,1,1,1,1,0,0,1,0,2,1,5,1,1,1,4,2
208,360000,flat,135,2666,3,4,2,SU - KODADU,45.8227115,8.8213783,2047,good,1,0,0,0,1,0,1,0,2,1,3,1,1,1,4,2
209,360000,flat,160,2250,0,4,2,SU - KODADU,45.8282967,8.807173,2047,good,1,0,0,0,1,0,0,0,2,0,3,1,0,0,4,2
210,360000,flat,147,2448,2,3,2,SU - KODADU,45.8392456,8.803218,2047,good,1,1,1,1,0,0,1,0,2,1,3,1,1,1,3,2
211,360000,flat,190,1894,5,5,2,SU - KODADU,45.8262511,8.8096924,2047,renew,1,0,1,1,1,0,1,0,1,1,3,1,1,1,4,2
212,360000,penthouse,240,1500,5,6,3,SU - KODADU,45.8240365,8.815239,2047,renew,1,0,1,0,0,0,1,0,1,1,6,0,1,1,4,2
213,389000,flat,132,2946,2,4,2,SU - KODADU,45.8333648,8.7987719,2047,good,1,0,1,1,1,0,1,26000,2,1,3,1,1,1,4,2
214,412000,flat,132,3121,3,4,2,SU - KODADU,45.8333648,8.7987719,2047,good,1,0,1,1,1,0,1,37000,2,1,3,1,1,1,4,2
215,379000,flat,107,3542,2,3,2,SU - KODADU,45.8239411,8.8124679,2047,good,1,0,0,1,0,0,1,0,2,1,3,1,1,1,3,2
216,380000,flat,106,3584,0,3,2,SU - KODADU,45.8229005,8.8206876,2047,good,1,1,0,1,1,0,1,0,2,1,3,1,0,0,3,2
217,380000,flat,115,3304,1,3,2,SU - KODADU,45.8231411,8.8107679,2047,good,0,0,0,1,0,0,0,0,2,0,3,1,0,0,3,2
218,380000,flat,160,2375,0,4,3,SU - KODADU,45.821695,8.7992132,2047,good,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,2
219,380000,flat,86,4418,0,3,2,SU - KODADU,45.8462256,8.7909774,2047,newdevelopment,1,1,0,1,1,0,1,0,3,1,3,1,0,0,3,2
220,380000,flat,114,3333,0,3,2,SU - KODADU,45.8227805,8.8176678,2047,newdevelopment,1,1,0,1,0,0,1,0,3,1,3,1,0,0,3,2
221,433000,penthouse,106,4084,4,3,2,SU - KODADU,45.8332235,8.8009806,2047,good,1,0,1,1,1,0,1,42000,2,1,6,1,1,1,3,2
222,425000,flat,110,3863,5,3,2,SU - KODADU,45.826336,8.8101848,2047,good,1,1,1,1,0,0,1,30000,2,1,3,1,1,1,3,2
223,400000,flat,109,3669,3,3,2,SU - KODADU,45.8234411,8.8141679,2047,good,0,0,0,1,0,0,0,0,2,0,3,1,1,0,3,2
224,420000,duplex,140,3000,2,4,2,SU - KODADU,45.8260481,8.8185555,2047,good,1,1,1,0,1,0,0,0,2,1,5,1,1,1,4,2
225,420000,flat,86,4883,0,3,2,SU - KODADU,45.8462256,8.7909774,2047,newdevelopment,1,1,0,1,0,0,1,0,3,1,3,1,0,0,3,2
226,430000,penthouse,159,2704,3,4,2,SU - KODADU,45.8168426,8.8063675,2047,good,1,1,0,1,0,0,0,0,2,0,6,1,1,1,4,2
